ec2,status,success,start_time,stop_time,stop_reason,session,instance_key,s3_dir,meta_info
i-0e83be116be107267,terminated,True,2022-02-05T14:31:11,2022-02-05T15:33:28,Client.InstanceInitiatedShutdown: Instance initiated shutdown,gama.openml_s_271.1h8c.aws.20220205T143108,aws.openml_s_271.1h8c.higgs.0.gama,s3://automl-benchmark-bucket/ec2/gama.openml_s_271.1h8c.aws.20220205T143108/aws.openml_s_271.1h8c.higgs.0.gama,"{'instance_type': 'm5.2xlarge', 'launch_time': '2022-02-05 14:31:10+00:00', 'public_dns_name': 'ec2-35-158-160-182.eu-central-1.compute.amazonaws.com', 'public_ip': '35.158.160.182', 'private_dns_name': 'ip-172-31-4-35.eu-central-1.compute.internal', 'private_ip': '172.31.4.35', 'availability_zone': 'eu-central-1c', 'subnet_id': 'subnet-befca8f3', 'volumes': [{'type': 'standard', 'size_gb': 18, 'id': 'vol-079c9d7a62099e3c3'}]}"
i-0010322f0a7c3b380,shutting-down,True,2022-02-05T14:31:16,2022-02-05T15:34:33,Client.InstanceInitiatedShutdown: Instance initiated shutdown,gama.openml_s_271.1h8c.aws.20220205T143108,aws.openml_s_271.1h8c.higgs.1.gama,s3://automl-benchmark-bucket/ec2/gama.openml_s_271.1h8c.aws.20220205T143108/aws.openml_s_271.1h8c.higgs.1.gama,"{'instance_type': 'm5.2xlarge', 'launch_time': '2022-02-05 14:31:15+00:00', 'public_dns_name': 'ec2-3-69-52-4.eu-central-1.compute.amazonaws.com', 'public_ip': '3.69.52.4', 'private_dns_name': 'ip-172-31-13-209.eu-central-1.compute.internal', 'private_ip': '172.31.13.209', 'availability_zone': 'eu-central-1c', 'subnet_id': 'subnet-befca8f3', 'volumes': [{'type': 'standard', 'size_gb': 18, 'id': 'vol-0f3a4fed6699fe086'}]}"
i-0b4b30928b949cad7,shutting-down,True,2022-02-05T14:31:21,2022-02-05T15:34:06,Client.InstanceInitiatedShutdown: Instance initiated shutdown,gama.openml_s_271.1h8c.aws.20220205T143108,aws.openml_s_271.1h8c.higgs.2.gama,s3://automl-benchmark-bucket/ec2/gama.openml_s_271.1h8c.aws.20220205T143108/aws.openml_s_271.1h8c.higgs.2.gama,"{'instance_type': 'm5.2xlarge', 'launch_time': '2022-02-05 14:31:20+00:00', 'public_dns_name': 'ec2-3-69-250-91.eu-central-1.compute.amazonaws.com', 'public_ip': '3.69.250.91', 'private_dns_name': 'ip-172-31-7-34.eu-central-1.compute.internal', 'private_ip': '172.31.7.34', 'availability_zone': 'eu-central-1c', 'subnet_id': 'subnet-befca8f3', 'volumes': [{'type': 'standard', 'size_gb': 18, 'id': 'vol-0265c01ba02a9f147'}]}"
i-00d02e6b0b503fb03,shutting-down,True,2022-02-05T14:31:26,2022-02-05T15:34:10,Client.InstanceInitiatedShutdown: Instance initiated shutdown,gama.openml_s_271.1h8c.aws.20220205T143108,aws.openml_s_271.1h8c.higgs.3.gama,s3://automl-benchmark-bucket/ec2/gama.openml_s_271.1h8c.aws.20220205T143108/aws.openml_s_271.1h8c.higgs.3.gama,"{'instance_type': 'm5.2xlarge', 'launch_time': '2022-02-05 14:31:26+00:00', 'public_dns_name': 'ec2-18-159-92-44.eu-central-1.compute.amazonaws.com', 'public_ip': '18.159.92.44', 'private_dns_name': 'ip-172-31-15-161.eu-central-1.compute.internal', 'private_ip': '172.31.15.161', 'availability_zone': 'eu-central-1c', 'subnet_id': 'subnet-befca8f3', 'volumes': [{'type': 'standard', 'size_gb': 18, 'id': 'vol-0a5d15cac85340a20'}]}"
i-0cff9d18d0f14ce6e,shutting-down,True,2022-02-05T14:31:31,2022-02-05T15:34:21,Client.InstanceInitiatedShutdown: Instance initiated shutdown,gama.openml_s_271.1h8c.aws.20220205T143108,aws.openml_s_271.1h8c.higgs.4.gama,s3://automl-benchmark-bucket/ec2/gama.openml_s_271.1h8c.aws.20220205T143108/aws.openml_s_271.1h8c.higgs.4.gama,"{'instance_type': 'm5.2xlarge', 'launch_time': '2022-02-05 14:31:30+00:00', 'public_dns_name': 'ec2-3-71-70-137.eu-central-1.compute.amazonaws.com', 'public_ip': '3.71.70.137', 'private_dns_name': 'ip-172-31-3-232.eu-central-1.compute.internal', 'private_ip': '172.31.3.232', 'availability_zone': 'eu-central-1c', 'subnet_id': 'subnet-befca8f3', 'volumes': [{'type': 'standard', 'size_gb': 18, 'id': 'vol-0e784ef6269452e8b'}]}"
i-0d81d3e5323a03a75,shutting-down,True,2022-02-05T14:31:36,2022-02-05T15:34:23,Client.InstanceInitiatedShutdown: Instance initiated shutdown,gama.openml_s_271.1h8c.aws.20220205T143108,aws.openml_s_271.1h8c.higgs.5.gama,s3://automl-benchmark-bucket/ec2/gama.openml_s_271.1h8c.aws.20220205T143108/aws.openml_s_271.1h8c.higgs.5.gama,"{'instance_type': 'm5.2xlarge', 'launch_time': '2022-02-05 14:31:36+00:00', 'public_dns_name': 'ec2-18-192-176-37.eu-central-1.compute.amazonaws.com', 'public_ip': '18.192.176.37', 'private_dns_name': 'ip-172-31-9-216.eu-central-1.compute.internal', 'private_ip': '172.31.9.216', 'availability_zone': 'eu-central-1c', 'subnet_id': 'subnet-befca8f3', 'volumes': [{'type': 'standard', 'size_gb': 18, 'id': 'vol-0bd808261733ca88c'}]}"
i-0f0db3af5e372c533,shutting-down,True,2022-02-05T14:31:41,2022-02-05T15:34:55,Client.InstanceInitiatedShutdown: Instance initiated shutdown,gama.openml_s_271.1h8c.aws.20220205T143108,aws.openml_s_271.1h8c.higgs.6.gama,s3://automl-benchmark-bucket/ec2/gama.openml_s_271.1h8c.aws.20220205T143108/aws.openml_s_271.1h8c.higgs.6.gama,"{'instance_type': 'm5.2xlarge', 'launch_time': '2022-02-05 14:31:40+00:00', 'public_dns_name': 'ec2-18-196-247-62.eu-central-1.compute.amazonaws.com', 'public_ip': '18.196.247.62', 'private_dns_name': 'ip-172-31-11-223.eu-central-1.compute.internal', 'private_ip': '172.31.11.223', 'availability_zone': 'eu-central-1c', 'subnet_id': 'subnet-befca8f3', 'volumes': [{'type': 'standard', 'size_gb': 18, 'id': 'vol-0dceed7e311ad24b2'}]}"
i-09749d03dacd372dc,shutting-down,True,2022-02-05T14:31:46,2022-02-05T15:34:33,Client.InstanceInitiatedShutdown: Instance initiated shutdown,gama.openml_s_271.1h8c.aws.20220205T143108,aws.openml_s_271.1h8c.higgs.7.gama,s3://automl-benchmark-bucket/ec2/gama.openml_s_271.1h8c.aws.20220205T143108/aws.openml_s_271.1h8c.higgs.7.gama,"{'instance_type': 'm5.2xlarge', 'launch_time': '2022-02-05 14:31:45+00:00', 'public_dns_name': 'ec2-3-127-170-40.eu-central-1.compute.amazonaws.com', 'public_ip': '3.127.170.40', 'private_dns_name': 'ip-172-31-1-61.eu-central-1.compute.internal', 'private_ip': '172.31.1.61', 'availability_zone': 'eu-central-1c', 'subnet_id': 'subnet-befca8f3', 'volumes': [{'type': 'standard', 'size_gb': 18, 'id': 'vol-0f54f9b24632d0a62'}]}"
i-0551ff37f8c25bcf6,shutting-down,True,2022-02-05T14:31:51,2022-02-05T15:35:07,Client.InstanceInitiatedShutdown: Instance initiated shutdown,gama.openml_s_271.1h8c.aws.20220205T143108,aws.openml_s_271.1h8c.higgs.8.gama,s3://automl-benchmark-bucket/ec2/gama.openml_s_271.1h8c.aws.20220205T143108/aws.openml_s_271.1h8c.higgs.8.gama,"{'instance_type': 'm5.2xlarge', 'launch_time': '2022-02-05 14:31:50+00:00', 'public_dns_name': 'ec2-18-195-168-4.eu-central-1.compute.amazonaws.com', 'public_ip': '18.195.168.4', 'private_dns_name': 'ip-172-31-11-7.eu-central-1.compute.internal', 'private_ip': '172.31.11.7', 'availability_zone': 'eu-central-1c', 'subnet_id': 'subnet-befca8f3', 'volumes': [{'type': 'standard', 'size_gb': 18, 'id': 'vol-06f1e31cf32d0f549'}]}"
i-0a2d6c5c958669634,shutting-down,True,2022-02-05T14:31:56,2022-02-05T15:35:13,Client.InstanceInitiatedShutdown: Instance initiated shutdown,gama.openml_s_271.1h8c.aws.20220205T143108,aws.openml_s_271.1h8c.higgs.9.gama,s3://automl-benchmark-bucket/ec2/gama.openml_s_271.1h8c.aws.20220205T143108/aws.openml_s_271.1h8c.higgs.9.gama,"{'instance_type': 'm5.2xlarge', 'launch_time': '2022-02-05 14:31:55+00:00', 'public_dns_name': 'ec2-35-158-101-109.eu-central-1.compute.amazonaws.com', 'public_ip': '35.158.101.109', 'private_dns_name': 'ip-172-31-11-66.eu-central-1.compute.internal', 'private_ip': '172.31.11.66', 'availability_zone': 'eu-central-1c', 'subnet_id': 'subnet-befca8f3', 'volumes': [{'type': 'standard', 'size_gb': 18, 'id': 'vol-058db431afe868e61'}]}"
