id,task,framework,constraint,fold,type,result,metric,mode,version,params,app_version,utc,duration,training_duration,predict_duration,models_count,seed,info,acc,balacc,logloss,auc,models_ensemble_count
openml.org/t/359955,blood-transfusion-service-center,AutoGluon_benchmark,1h8c_gp3,0,binary,0.768519,auc,aws.docker,0.3.1,{'presets': 'best_quality'},2.0.2,2021-11-17T23:48:01,563.8,559.6,2.1,14.0,2009719390,,0.76,0.595029,0.485625,0.768519,3.0
openml.org/t/359955,blood-transfusion-service-center,AutoGluon_benchmark,1h8c_gp3,1,binary,0.845517,auc,aws.docker,0.3.1,{'presets': 'best_quality'},2.0.2,2021-11-17T23:48:35,606.7,589.5,15.0,14.0,2009719391,,0.786667,0.612573,0.423744,0.845517,3.0
openml.org/t/146818,Australian,AutoGluon_benchmark,1h8c_gp3,0,binary,0.949915,auc,aws.docker,0.3.1,{'presets': 'best_quality'},2.0.2,2021-11-17T23:48:59,822.0,815.0,5.0,14.0,2009719390,,0.869565,0.872666,0.284181,0.949915,7.0
openml.org/t/146818,Australian,AutoGluon_benchmark,1h8c_gp3,1,binary,0.927844,auc,aws.docker,0.3.1,{'presets': 'best_quality'},2.0.2,2021-11-17T23:49:40,863.6,855.0,6.4,14.0,2009719391,,0.84058,0.831494,0.332427,0.927844,8.0
openml.org/t/359979,Amazon_employee_access,AutoGluon_benchmark,1h8c_gp3,1,binary,0.89656,auc,aws.docker,0.3.1,{'presets': 'best_quality'},2.0.2,2021-11-18T01:14:11,2396.4,2379.9,13.9,24.0,2009719391,,0.954226,0.695067,0.137062,0.89656,15.0
openml.org/t/168784,steel-plates-fault,AutoGluon_benchmark,1h8c_gp3,0,multiclass,-0.470041,neg_logloss,aws.docker,0.3.1,{'presets': 'best_quality'},2.0.2,2021-11-18T01:16:58,2614.0,2606.0,5.6,26.0,2009719390,,0.815385,0.843385,0.470041,,5.0
openml.org/t/359979,Amazon_employee_access,AutoGluon_benchmark,1h8c_gp3,0,binary,0.905142,auc,aws.docker,0.3.1,{'presets': 'best_quality'},2.0.2,2021-11-18T01:17:26,2605.5,2587.3,15.3,24.0,2009719390,,0.954532,0.687778,0.135368,0.905142,15.0
openml.org/t/359980,nomao,AutoGluon_benchmark,1h8c_gp3,0,binary,0.996724,auc,aws.docker,0.3.1,{'presets': 'best_quality'},2.0.2,2021-11-18T01:17:58,2615.4,2597.8,11.9,26.0,2009719390,,0.976791,0.97186,0.0653954,0.996724,20.0
openml.org/t/189922,gina,AutoGluon_benchmark,1h8c_gp3,0,binary,0.993428,auc,aws.docker,0.3.1,{'presets': 'best_quality'},2.0.2,2021-11-18T01:19:42,2762.7,2753.5,2.8,26.0,2009719390,,0.962025,0.962012,0.104849,0.993428,4.0
openml.org/t/2073,yeast,AutoGluon_benchmark,1h8c_gp3,1,multiclass,-1.13937,neg_logloss,aws.docker,0.3.1,{'presets': 'best_quality'},2.0.2,2021-11-18T01:19:44,2723.9,2713.5,8.1,26.0,2009719391,,0.61745,0.609714,1.13937,,9.0
openml.org/t/190412,arcene,AutoGluon_benchmark,1h8c_gp3,0,binary,0.75,auc,aws.docker,0.3.1,{'presets': 'best_quality'},2.0.2,2021-11-18T01:19:56,2746.9,2617.6,118.6,14.0,2009719390,,0.8,0.791667,0.516056,0.75,10.0
openml.org/t/359963,segment,AutoGluon_benchmark,1h8c_gp3,1,multiclass,-0.123981,neg_logloss,aws.docker,0.3.1,{'presets': 'best_quality'},2.0.2,2021-11-18T01:21:42,2883.8,2871.5,10.0,26.0,2009719391,,0.952381,0.952381,0.123981,,19.0
openml.org/t/359963,segment,AutoGluon_benchmark,1h8c_gp3,0,multiclass,-0.122674,neg_logloss,aws.docker,0.3.1,{'presets': 'best_quality'},2.0.2,2021-11-18T01:21:52,2902.2,2889.9,10.1,26.0,2009719390,,0.948052,0.948052,0.122674,,18.0
openml.org/t/189922,gina,AutoGluon_benchmark,1h8c_gp3,1,binary,0.98357,auc,aws.docker,0.3.1,{'presets': 'best_quality'},2.0.2,2021-11-18T01:23:17,2827.4,2812.1,9.2,26.0,2009719391,,0.943038,0.943258,0.162969,0.98357,17.0
openml.org/t/168868,APSFailure,AutoGluon_benchmark,1h8c_gp3,0,binary,0.989972,auc,aws.docker,0.3.1,{'presets': 'best_quality'},2.0.2,2021-11-18T01:23:18,2977.7,2943.1,21.5,26.0,2009719390,,0.995526,0.904574,0.0128407,0.989972,21.0
openml.org/t/359980,nomao,AutoGluon_benchmark,1h8c_gp3,1,binary,0.996902,auc,aws.docker,0.3.1,{'presets': 'best_quality'},2.0.2,2021-11-18T01:23:27,2626.1,2605.9,14.9,26.0,2009719391,,0.975341,0.971775,0.0650799,0.996902,24.0
openml.org/t/359974,wine-quality-white,AutoGluon_benchmark,1h8c_gp3,1,multiclass,-0.67628,neg_logloss,aws.docker,0.3.1,{'presets': 'best_quality'},2.0.2,2021-11-18T01:24:49,3098.6,3076.5,19.7,26.0,2009719391,,0.730612,0.524792,0.67628,,23.0
openml.org/t/2073,yeast,AutoGluon_benchmark,1h8c_gp3,0,multiclass,-0.918726,neg_logloss,aws.docker,0.3.1,{'presets': 'best_quality'},2.0.2,2021-11-18T01:25:32,3148.5,3136.8,9.4,26.0,2009719390,,0.691275,0.563071,0.918726,,9.0
openml.org/t/190410,philippine,AutoGluon_benchmark,1h8c_gp3,0,binary,0.872361,auc,aws.docker,0.3.1,{'presets': 'best_quality'},2.0.2,2021-11-18T01:26:26,3135.9,3108.3,23.4,26.0,2009719390,,0.794521,0.794521,0.442109,0.872361,22.0
openml.org/t/359964,dna,AutoGluon_benchmark,1h8c_gp3,1,multiclass,-0.0664152,neg_logloss,aws.docker,0.3.1,{'presets': 'best_quality'},2.0.2,2021-11-18T01:27:01,3189.3,3163.3,23.0,24.0,2009719391,,0.981191,0.978554,0.0664152,,16.0
openml.org/t/167120,numerai28_6,AutoGluon_benchmark,1h8c_gp3,1,binary,0.522754,auc,aws.docker,0.3.1,{'presets': 'best_quality'},2.0.2,2021-11-18T01:28:09,3223.6,3199.4,19.0,26.0,2009719391,,0.518999,0.518678,0.693277,0.522754,22.0
openml.org/t/190410,philippine,AutoGluon_benchmark,1h8c_gp3,1,binary,0.908707,auc,aws.docker,0.3.1,{'presets': 'best_quality'},2.0.2,2021-11-18T01:28:58,3142.1,3116.1,21.8,26.0,2009719391,,0.811644,0.811644,0.389725,0.908707,17.0
openml.org/t/167120,numerai28_6,AutoGluon_benchmark,1h8c_gp3,0,binary,0.520662,auc,aws.docker,0.3.1,{'presets': 'best_quality'},2.0.2,2021-11-18T01:29:34,2955.3,2934.0,16.2,26.0,2009719390,,0.517857,0.517342,0.693725,0.520662,22.0
openml.org/t/359959,cmc,AutoGluon_benchmark,1h8c_gp3,0,multiclass,-0.840056,neg_logloss,aws.docker,0.3.1,{'presets': 'best_quality'},2.0.2,2021-11-18T01:29:59,3113.1,3090.5,20.4,26.0,2009719390,,0.574324,0.551509,0.840056,,20.0
openml.org/t/359967,Bioresponse,AutoGluon_benchmark,1h8c_gp3,1,binary,0.883148,auc,aws.docker,0.3.1,{'presets': 'best_quality'},2.0.2,2021-11-18T01:30:07,3364.0,3328.4,28.4,26.0,2009719391,,0.810667,0.806478,0.430594,0.883148,6.0
openml.org/t/359966,Internet-Advertisements,AutoGluon_benchmark,1h8c_gp3,0,binary,0.981267,auc,aws.docker,0.3.1,{'presets': 'best_quality'},2.0.2,2021-11-18T01:30:27,3388.9,3271.3,99.6,26.0,2009719390,,0.97561,0.92214,0.0806358,0.981267,18.0
openml.org/t/359966,Internet-Advertisements,AutoGluon_benchmark,1h8c_gp3,1,binary,0.984813,auc,aws.docker,0.3.1,{'presets': 'best_quality'},2.0.2,2021-11-18T01:30:28,3378.2,3265.9,94.5,26.0,2009719391,,0.981707,0.952976,0.0671342,0.984813,19.0
openml.org/t/359964,dna,AutoGluon_benchmark,1h8c_gp3,0,multiclass,-0.122602,neg_logloss,aws.docker,0.3.1,{'presets': 'best_quality'},2.0.2,2021-11-18T01:30:36,3416.4,3397.6,15.8,24.0,2009719390,,0.962382,0.947767,0.122602,,16.0
openml.org/t/168350,phoneme,AutoGluon_benchmark,1h8c_gp3,1,binary,0.979354,auc,aws.docker,0.3.1,{'presets': 'best_quality'},2.0.2,2021-11-18T01:30:42,3437.7,3415.3,20.0,26.0,2009719391,,0.920518,0.910674,0.173715,0.979354,19.0
